Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
mercedes,c-class,2018,4.0,petrol,manual,66347,3,2,12173
honda,civic,2007,1.4,petrol,manual,279031,5,3,2019
chevrolet,equinox,2013,2.8,petrol,manual,63430,4,5,9531
bmw,3 series,2014,2.1,petrol,manual,191744,5,1,6565
mercedes,e-class,2023,3.9,hybrid,semi-automatic,58107,3,2,14737
bmw,x5,2002,4.5,diesel,manual,86763,2,5,7464
volkswagen,golf,2020,3.8,diesel,automatic,257521,3,3,10249
toyota,corolla,2013,4.0,diesel,manual,213052,4,4,7738
bmw,3 series,2017,1.9,petrol,semi-automatic,117943,2,4,8741
volkswagen,tiguan,2008,4.5,electric,semi-automatic,178837,3,4,9423
toyota,corolla,2002,3.9,diesel,semi-automatic,281616,2,3,2967
chevrolet,malibu,2013,1.4,diesel,automatic,131485,3,5,8270
audi,a4,2013,3.9,electric,manual,21399,5,3,13472
mercedes,c-class,2020,3.7,petrol,semi-automatic,148489,3,5,10830
chevrolet,equinox,2017,3.1,electric,manual,189399,5,4,10512
volkswagen,tiguan,2008,3.5,petrol,semi-automatic,179107,2,3,6417
volkswagen,passat,2015,4.7,diesel,manual,220366,5,1,8892
kia,optima,2020,4.7,petrol,manual,132200,2,1,12156
chevrolet,impala,2009,1.8,diesel,automatic,151249,4,1,7075
chevrolet,impala,2009,2.0,petrol,manual,184695,5,1,5106
volkswagen,golf,2001,4.1,petrol,automatic,32602,3,4,9347
audi,a3,2013,3.2,electric,manual,253611,2,4,8127
toyota,rav4,2020,4.3,hybrid,manual,187223,5,3,11655
mercedes,e-class,2004,3.0,hybrid,manual,232438,3,3,4651
toyota,camry,2019,4.7,petrol,manual,114139,5,4,12217
toyota,rav4,2004,1.3,electric,automatic,79437,4,4,8511
honda,accord,2019,2.2,diesel,manual,127801,5,5,9443
toyota,camry,2002,1.5,petrol,automatic,23115,2,1,7237
kia,optima,2010,3.9,petrol,automatic,26930,3,3,11961
toyota,rav4,2021,2.1,petrol,manual,289967,4,3,6700
ford,focus,2001,3.2,petrol,manual,42064,2,3,6758
hyundai,sonata,2018,3.5,electric,manual,233614,4,2,10327
ford,explorer,2023,4.1,electric,automatic,67072,4,3,17258
bmw,x5,2017,2.5,electric,manual,256380,2,1,8572
mercedes,c-class,2010,1.9,petrol,semi-automatic,159546,2,4,5809
mercedes,e-class,2014,3.8,electric,semi-automatic,5877,5,5,13982
hyundai,tucson,2002,4.9,hybrid,automatic,33244,2,2,11435
chevrolet,impala,2013,4.8,petrol,manual,206381,4,4,8672
honda,civic,2016,4.0,diesel,automatic,175833,3,5,10883
hyundai,tucson,2005,3.6,petrol,semi-automatic,157073,2,1,6058
bmw,3 series,2015,2.9,electric,automatic,131766,2,3,12364
ford,explorer,2001,2.2,petrol,manual,18630,3,5,6227
audi,a4,2015,2.1,diesel,automatic,54522,3,5,11109
mercedes,gla,2013,1.4,electric,semi-automatic,231290,3,3,6774
kia,optima,2000,3.7,electric,manual,166776,2,2,6464
audi,a3,2002,4.0,diesel,manual,16302,5,2,8373
audi,q5,2015,2.9,hybrid,semi-automatic,252824,3,1,7443
kia,sportage,2007,1.2,hybrid,automatic,269614,3,4,4507
kia,sportage,2000,2.8,electric,semi-automatic,264697,2,5,3606
honda,cr-v,2014,4.0,petrol,manual,287926,5,2,6541
audi,a3,2001,1.8,petrol,automatic,43196,5,2,6836
toyota,rav4,2001,4.5,diesel,semi-automatic,279971,3,1,3300
hyundai,sonata,2009,1.0,petrol,manual,286745,2,5,2065
mercedes,c-class,2011,2.3,electric,semi-automatic,885,3,2,11682
honda,civic,2013,3.5,hybrid,semi-automatic,93273,2,4,10634
bmw,x5,2004,3.7,diesel,semi-automatic,110947,3,2,6781
honda,cr-v,2018,1.2,petrol,manual,166808,5,2,7363
audi,q5,2022,3.8,diesel,automatic,186035,4,3,12279
ford,fiesta,2005,1.0,hybrid,semi-automatic,68819,2,3,6223
chevrolet,impala,2018,3.7,petrol,semi-automatic,157181,5,2,10056
mercedes,c-class,2007,3.9,petrol,semi-automatic,97350,3,3,8153
volkswagen,passat,2016,3.5,diesel,manual,271497,5,4,6970
toyota,rav4,2013,4.3,electric,semi-automatic,225452,4,5,9790
kia,optima,2010,3.8,petrol,automatic,51040,5,2,11379
volkswagen,golf,2012,4.2,electric,semi-automatic,7544,2,5,13749
chevrolet,equinox,2009,2.6,hybrid,semi-automatic,264411,3,1,5111
bmw,x5,2012,4.3,petrol,manual,153919,5,2,8921
honda,cr-v,2010,1.7,petrol,manual,115344,2,5,6493
kia,rio,2009,2.9,diesel,semi-automatic,106781,3,2,7564
hyundai,sonata,2011,1.0,petrol,manual,279545,2,3,2809
hyundai,sonata,2020,1.7,petrol,manual,11757,3,1,11564
audi,q5,2014,2.4,petrol,semi-automatic,230787,3,1,6084
hyundai,elantra,2020,3.7,hybrid,automatic,216478,2,1,11970
mercedes,c-class,2003,2.6,diesel,semi-automatic,134567,5,2,4908
mercedes,c-class,2006,4.5,electric,manual,162852,2,3,9142
bmw,3 series,2023,3.9,hybrid,semi-automatic,112480,2,2,13650
kia,optima,2017,1.9,electric,automatic,60780,2,1,13384
honda,cr-v,2012,3.2,diesel,automatic,21520,4,4,11969
bmw,5 series,2017,2.1,diesel,automatic,199006,3,3,8819
chevrolet,equinox,2006,2.0,hybrid,automatic,11585,5,4,10168
chevrolet,equinox,2009,2.8,electric,manual,79962,3,2,10000
volkswagen,golf,2014,3.9,electric,automatic,95537,4,2,13789
mercedes,gla,2021,4.3,diesel,manual,229873,4,2,10102
toyota,rav4,2006,1.3,hybrid,manual,195129,4,5,4297
chevrolet,impala,2011,4.0,hybrid,automatic,136926,5,1,11161
ford,focus,2003,3.2,petrol,semi-automatic,85005,3,1,6499
audi,a4,2017,2.7,electric,automatic,172248,3,2,11955
volkswagen,golf,2017,4.3,petrol,automatic,179528,2,5,11409
hyundai,sonata,2014,2.3,electric,manual,1752,4,2,12564
mercedes,gla,2008,3.2,electric,manual,25557,5,4,11188
bmw,5 series,2007,3.9,hybrid,automatic,211162,5,5,8376
audi,a3,2014,4.0,petrol,automatic,182364,5,5,10152
hyundai,sonata,2010,1.6,petrol,automatic,112946,2,5,7941
ford,focus,2009,2.1,petrol,automatic,122067,4,4,7958
toyota,rav4,2008,3.5,electric,semi-automatic,296747,3,1,6065
bmw,5 series,2018,2.8,petrol,semi-automatic,23722,5,5,11825
hyundai,elantra,2000,1.8,petrol,manual,161487,3,5,2670
ford,focus,2009,4.1,petrol,automatic,99562,5,2,10408
kia,optima,2018,1.9,electric,manual,107386,5,4,11252
volkswagen,golf,2021,4.0,diesel,automatic,32991,5,3,15240
audi,a3,2017,1.7,diesel,manual,156940,4,2,7761
toyota,camry,2007,2.2,diesel,manual,87444,4,4,6651
bmw,5 series,2009,1.4,petrol,manual,232049,3,2,3559
ford,focus,2009,1.2,hybrid,automatic,114668,2,4,8206
toyota,camry,2017,4.8,electric,semi-automatic,297176,4,2,10056
hyundai,sonata,2011,4.1,hybrid,semi-automatic,138965,4,4,9720
volkswagen,tiguan,2006,4.4,petrol,automatic,251894,2,4,6762
toyota,corolla,2006,2.8,diesel,semi-automatic,174551,4,5,5208
bmw,5 series,2011,3.0,petrol,automatic,260151,5,1,6696
chevrolet,malibu,2006,2.8,petrol,manual,253372,2,4,3632
mercedes,gla,2010,1.9,hybrid,manual,99563,3,5,8008
ford,fiesta,2014,3.9,electric,automatic,267949,3,2,10341
bmw,x5,2010,4.6,diesel,manual,79663,5,5,10106
toyota,rav4,2013,3.5,electric,automatic,85640,3,4,13287
mercedes,e-class,2001,4.4,hybrid,automatic,1937,4,4,11261
ford,fiesta,2014,3.2,petrol,automatic,253316,3,5,7933
mercedes,e-class,2007,3.2,diesel,semi-automatic,203452,2,4,5330
hyundai,elantra,2022,4.2,electric,manual,181600,3,3,13268
bmw,x5,2002,2.9,petrol,manual,296864,4,2,2000
kia,sportage,2014,1.4,hybrid,semi-automatic,262641,4,1,5447
audi,q5,2023,4.7,electric,automatic,222000,3,3,14760
ford,focus,2006,4.6,petrol,automatic,98002,5,4,10039
kia,sportage,2000,3.4,hybrid,manual,131933,4,1,5861
bmw,x5,2001,4.6,diesel,manual,287045,4,4,3259
chevrolet,malibu,2008,2.5,petrol,semi-automatic,215987,5,3,4680
honda,cr-v,2009,2.8,diesel,manual,201403,3,5,5571
bmw,3 series,2021,3.9,petrol,manual,263073,4,3,9038
audi,a3,2021,4.4,diesel,semi-automatic,91956,2,2,12960
kia,sportage,2021,1.3,hybrid,manual,197902,5,5,8741
toyota,rav4,2006,1.0,diesel,automatic,107474,4,5,6250
bmw,5 series,2011,1.1,diesel,automatic,178039,3,1,6439
bmw,5 series,2009,4.0,electric,automatic,84645,2,2,12607
kia,optima,2020,4.1,hybrid,semi-automatic,118504,2,4,12829
honda,accord,2009,2.7,petrol,manual,217224,4,5,5155
toyota,camry,2002,2.6,petrol,automatic,118041,3,4,6439
audi,a4,2020,4.3,diesel,semi-automatic,186962,3,5,10660
mercedes,gla,2023,1.3,electric,semi-automatic,78961,5,2,12720
mercedes,gla,2010,1.0,hybrid,manual,296156,5,1,3176
toyota,rav4,2019,2.0,petrol,automatic,232074,3,5,8658
ford,explorer,2001,2.3,electric,manual,38542,5,2,7929
bmw,x5,2010,2.9,diesel,automatic,295058,5,1,5598
toyota,camry,2013,2.2,hybrid,manual,262285,4,4,5954
ford,explorer,2008,3.9,electric,semi-automatic,225838,5,3,7883
chevrolet,equinox,2023,3.0,hybrid,automatic,230795,5,4,11884
chevrolet,malibu,2008,2.5,petrol,manual,94729,5,3,7105
mercedes,c-class,2022,3.1,petrol,automatic,282199,2,2,9656
audi,a3,2006,2.6,diesel,automatic,282423,5,5,4351
mercedes,c-class,2004,4.0,diesel,manual,191859,3,5,5462
ford,fiesta,2004,2.2,hybrid,automatic,256459,4,5,4870
kia,sportage,2021,2.1,electric,semi-automatic,74107,5,4,13017
volkswagen,golf,2019,3.9,petrol,manual,230974,5,3,9080
bmw,5 series,2016,1.7,petrol,manual,56150,3,1,9477
mercedes,c-class,2010,4.7,diesel,semi-automatic,256100,3,2,6678
volkswagen,golf,2006,2.7,hybrid,automatic,9512,2,1,10909
audi,a3,2011,4.8,petrol,automatic,80241,2,3,12095
audi,a4,2021,4.7,diesel,semi-automatic,150713,2,4,12085
audi,q5,2018,1.7,electric,semi-automatic,207019,2,3,9059
audi,a3,2023,3.2,petrol,semi-automatic,163039,3,3,10939
toyota,corolla,2000,2.0,diesel,manual,145101,3,5,3197
ford,focus,2016,1.4,petrol,semi-automatic,278559,5,4,4728
hyundai,elantra,2017,4.2,diesel,automatic,269154,3,2,9516
kia,sportage,2010,2.3,petrol,manual,62065,2,2,8158
audi,q5,2023,1.9,diesel,manual,52679,5,3,11846
toyota,camry,2014,1.0,petrol,manual,177766,3,2,5744
honda,civic,2007,1.6,electric,manual,158154,3,4,6636
chevrolet,impala,2021,1.3,electric,automatic,52051,5,1,14158
toyota,camry,2023,1.5,diesel,manual,117049,2,5,10159
toyota,camry,2000,1.8,electric,automatic,271405,4,4,3971
hyundai,sonata,2010,2.6,hybrid,semi-automatic,260006,3,3,5499
toyota,rav4,2012,1.7,petrol,manual,234785,3,1,4704
kia,optima,2009,1.6,electric,automatic,222076,5,4,7458
volkswagen,passat,2002,1.8,petrol,manual,194835,3,3,2603
ford,focus,2013,2.0,diesel,automatic,145970,2,2,8580
ford,fiesta,2011,1.4,hybrid,automatic,30785,4,3,10684
audi,q5,2015,3.7,diesel,semi-automatic,57196,3,1,11156
kia,sportage,2019,4.0,diesel,semi-automatic,50680,3,4,12786
toyota,rav4,2001,4.7,diesel,semi-automatic,230052,2,3,4498
honda,civic,2019,4.2,petrol,manual,273193,2,4,8536
hyundai,elantra,2003,4.4,hybrid,semi-automatic,169451,2,2,7010
bmw,x5,2020,2.2,electric,automatic,286174,4,5,10076
chevrolet,malibu,2004,4.9,diesel,manual,242712,5,4,5345
hyundai,elantra,2014,3.4,electric,manual,227371,4,5,9152
kia,optima,2002,1.7,diesel,manual,79442,4,2,4811
toyota,corolla,2005,3.2,petrol,automatic,29885,2,2,9702
volkswagen,tiguan,2008,4.3,diesel,semi-automatic,261478,4,5,5570
kia,optima,2010,1.2,petrol,automatic,170847,4,4,6383
bmw,x5,2001,4.1,electric,semi-automatic,87221,5,4,8755
mercedes,c-class,2014,2.9,petrol,manual,217980,4,4,6840
volkswagen,passat,2010,4.1,electric,automatic,71288,5,2,13274
bmw,5 series,2016,4.5,diesel,manual,91092,2,1,11578
honda,civic,2020,4.4,petrol,semi-automatic,24913,3,3,14001
kia,sportage,2000,4.2,hybrid,semi-automatic,155444,3,5,6191
mercedes,e-class,2014,2.5,electric,semi-automatic,171683,3,2,9366
honda,cr-v,2015,4.8,diesel,automatic,295428,3,5,8991
volkswagen,golf,2010,3.9,petrol,automatic,207380,2,5,8352
mercedes,c-class,2012,1.5,electric,automatic,89226,5,5,10915
bmw,3 series,2001,4.6,hybrid,manual,79217,4,4,8415
mercedes,e-class,2010,3.3,diesel,automatic,297971,2,3,5940
ford,fiesta,2011,3.5,diesel,semi-automatic,178950,2,3,7321
audi,a3,2017,3.4,electric,automatic,148880,3,5,13122
honda,accord,2013,1.7,petrol,semi-automatic,23936,4,4,9221
audi,q5,2002,2.1,electric,manual,68076,4,1,7438
chevrolet,malibu,2015,2.9,diesel,automatic,144743,2,3,10105
kia,rio,2014,4.4,diesel,semi-automatic,90279,3,5,10894
audi,a3,2018,2.5,diesel,semi-automatic,56429,2,1,10871
audi,a3,2014,2.9,diesel,automatic,1197,2,5,12676
mercedes,c-class,2021,1.9,petrol,automatic,200177,2,2,9796
chevrolet,malibu,2022,3.0,diesel,manual,5679,2,4,13586
bmw,3 series,2011,3.3,hybrid,manual,14586,4,1,11408
kia,sportage,2001,3.6,hybrid,semi-automatic,202216,3,3,4955
bmw,5 series,2002,4.8,petrol,manual,249673,5,1,4506
chevrolet,impala,2011,1.7,diesel,manual,39156,3,1,8316
volkswagen,golf,2010,4.5,electric,semi-automatic,68014,3,2,12239
ford,focus,2008,2.4,petrol,manual,126868,5,3,6362
mercedes,e-class,2010,3.0,electric,manual,258632,4,5,6927
ford,fiesta,2021,4.3,hybrid,semi-automatic,201170,3,5,11676
audi,a3,2019,2.9,hybrid,manual,13569,2,3,13428
bmw,3 series,2020,2.1,diesel,semi-automatic,191301,3,1,8373
kia,sportage,2002,4.4,petrol,semi-automatic,169424,3,3,5711
bmw,x5,2010,2.9,petrol,manual,63026,2,5,8739
chevrolet,malibu,2001,4.8,electric,semi-automatic,145630,2,1,8287
audi,q5,2003,3.7,diesel,automatic,44024,4,4,9319
audi,q5,2022,1.2,electric,manual,122902,2,3,11441
audi,a3,2012,4.0,electric,semi-automatic,92692,3,2,11846
chevrolet,equinox,2020,2.9,petrol,automatic,22360,2,5,14052
mercedes,e-class,2018,3.4,diesel,manual,53596,5,1,11828
honda,accord,2000,3.6,electric,semi-automatic,45737,5,1,8785
kia,sportage,2020,3.0,hybrid,automatic,98160,2,5,13636
chevrolet,impala,2018,4.0,petrol,manual,253702,3,4,8425
ford,explorer,2006,1.5,hybrid,semi-automatic,94715,5,2,6505
volkswagen,passat,2005,1.4,diesel,semi-automatic,1841,2,2,6963
kia,optima,2021,1.6,diesel,semi-automatic,109050,2,5,9819
bmw,5 series,2008,4.4,hybrid,semi-automatic,236894,2,1,7162
toyota,corolla,2016,4.4,electric,automatic,256691,4,1,11666
ford,explorer,2006,1.6,hybrid,semi-automatic,235768,5,2,3784
mercedes,c-class,2003,4.4,hybrid,manual,88089,3,3,8638
honda,cr-v,2007,3.8,electric,automatic,160230,4,2,10295
mercedes,e-class,2000,1.1,diesel,manual,233776,2,3,2000
chevrolet,equinox,2015,1.3,hybrid,semi-automatic,117006,3,5,8559
ford,fiesta,2005,4.7,diesel,semi-automatic,295379,2,2,4392
chevrolet,impala,2019,2.5,hybrid,manual,299406,3,1,7311
ford,explorer,2011,1.4,petrol,semi-automatic,182197,4,3,5156
volkswagen,tiguan,2015,1.4,electric,semi-automatic,235687,2,2,7286
volkswagen,passat,2005,1.6,electric,automatic,293339,5,1,4833
audi,a3,2008,3.5,diesel,manual,79861,4,1,8402
mercedes,c-class,2020,1.9,petrol,semi-automatic,288000,4,5,6240
kia,rio,2022,1.6,diesel,automatic,295898,3,1,7882
toyota,rav4,2005,2.5,hybrid,semi-automatic,239287,4,1,4314
honda,cr-v,2016,4.4,petrol,automatic,7588,4,5,14648
volkswagen,tiguan,2002,3.4,diesel,automatic,152117,3,2,6557
kia,sportage,2019,4.4,petrol,manual,195296,5,4,10294
chevrolet,impala,2006,4.4,diesel,automatic,191716,2,3,7965
honda,cr-v,2000,3.6,petrol,manual,230409,2,3,3091
honda,civic,2014,1.1,diesel,automatic,106397,4,2,8772
volkswagen,passat,2007,3.7,electric,manual,295514,2,4,5989
kia,sportage,2001,3.1,hybrid,automatic,232603,4,4,5347
mercedes,e-class,2000,2.5,diesel,manual,18150,3,5,6237
volkswagen,passat,2000,1.8,petrol,automatic,222084,2,3,2958
toyota,corolla,2016,3.7,petrol,manual,59160,5,2,11416
chevrolet,equinox,2016,2.3,petrol,semi-automatic,73775,3,4,9724
mercedes,e-class,2007,2.4,electric,automatic,89733,3,1,10305
hyundai,tucson,2002,2.6,petrol,semi-automatic,11401,5,4,7071
chevrolet,impala,2019,4.4,diesel,semi-automatic,233465,2,1,9530
volkswagen,golf,2016,4.3,petrol,semi-automatic,240885,3,2,8382
mercedes,gla,2006,3.5,electric,semi-automatic,25049,4,5,10899
chevrolet,equinox,2003,2.0,hybrid,semi-automatic,110430,3,1,5791
hyundai,elantra,2018,3.7,electric,semi-automatic,205909,3,2,11081
ford,explorer,2011,1.4,hybrid,semi-automatic,161912,4,4,6561
mercedes,c-class,2002,3.6,hybrid,automatic,54815,3,5,9703
hyundai,elantra,2019,3.3,electric,manual,128619,3,5,12527
honda,civic,2019,4.0,hybrid,manual,121403,5,2,12371
toyota,corolla,2019,4.2,electric,semi-automatic,253093,5,4,10938
chevrolet,malibu,2022,4.8,petrol,semi-automatic,97890,2,2,13542
toyota,camry,2016,1.2,diesel,manual,157466,4,1,6950
kia,rio,2004,3.6,petrol,semi-automatic,168226,4,4,5535
audi,a3,2009,1.2,petrol,automatic,275586,3,5,3988
ford,focus,2015,1.9,electric,manual,50573,4,5,11488
volkswagen,tiguan,2006,2.6,electric,manual,219205,5,5,6115
hyundai,elantra,2008,2.7,electric,automatic,1708,5,2,12665
kia,rio,2012,3.6,petrol,automatic,244437,2,2,7911
kia,sportage,2016,2.1,electric,manual,134097,4,5,10318
ford,fiesta,2010,1.1,hybrid,manual,98700,5,3,7226
mercedes,e-class,2018,1.6,hybrid,manual,78445,4,4,10531
chevrolet,equinox,2001,3.6,hybrid,semi-automatic,93140,2,1,7137
hyundai,elantra,2006,3.0,diesel,automatic,288209,3,2,4635
hyundai,sonata,2009,4.4,hybrid,semi-automatic,282931,5,3,6541
volkswagen,passat,2023,3.0,hybrid,automatic,242006,5,1,11659
kia,optima,2006,4.6,hybrid,manual,272450,4,3,6051
kia,sportage,2002,4.4,petrol,automatic,54982,5,5,9500
chevrolet,malibu,2003,1.2,diesel,semi-automatic,53980,4,3,5120
ford,explorer,2019,1.6,hybrid,semi-automatic,84291,4,4,10714
hyundai,sonata,2002,3.1,hybrid,semi-automatic,264010,5,1,3519
audi,a3,2020,1.7,hybrid,semi-automatic,54068,4,1,11718
hyundai,tucson,2002,4.4,petrol,manual,253283,4,1,4034
bmw,5 series,2010,1.1,petrol,automatic,1666,4,3,9666
honda,accord,2000,2.8,electric,automatic,128713,4,2,7825
toyota,camry,2004,2.9,diesel,automatic,155101,3,5,6597
volkswagen,passat,2002,3.1,diesel,automatic,153222,5,2,6235
bmw,3 series,2004,3.0,electric,semi-automatic,140269,4,1,7494
toyota,corolla,2022,4.6,diesel,automatic,48034,3,1,15839
honda,accord,2007,1.7,electric,automatic,197700,2,4,7446
ford,focus,2020,1.3,hybrid,manual,130961,2,4,9780
